Metric,Value
timestamp,2026-06-07T11:12:27.674300
total_value,100000.0
cash,100000.0
used_capital,0
unrealized_pnl,0
realized_pnl,0
total_pnl,0.0
total_return_pct,0.0
open_positions,0
closed_positions,0
